DATE,IPN32731S
1972-01-01,144.6423
1972-02-01,138.8505
1972-03-01,137.9965
1972-04-01,139.3841
1972-05-01,136.9861
1972-06-01,136.2570
1972-07-01,136.6905
1972-08-01,139.8175
1972-09-01,139.1459
1972-10-01,137.3694
1972-11-01,128.3034
1972-12-01,128.1263
1973-01-01,140.4597
1973-02-01,144.8412
1973-03-01,143.8177
1973-04-01,139.1086
1973-05-01,142.6882
1973-06-01,140.6004
1973-07-01,144.4488
1973-08-01,144.3430
1973-09-01,140.3705
1973-10-01,142.3460
1973-11-01,147.7413
1973-12-01,148.2153
1974-01-01,144.9129
1974-02-01,151.9338
1974-03-01,153.0731
1974-04-01,155.3963
1974-05-01,150.8998
1974-06-01,150.6519
1974-07-01,142.7776
1974-08-01,140.8291
1974-09-01,144.3342
1974-10-01,144.4428
1974-11-01,133.0694
1974-12-01,135.3652
1975-01-01,134.5358
1975-02-01,119.7938
1975-03-01,110.1672
1975-04-01,111.4878
1975-05-01,117.8503
1975-06-01,120.7149
1975-07-01,125.4559
1975-08-01,125.4619
1975-09-01,127.2391
1975-10-01,127.9413
1975-11-01,124.4077
1975-12-01,123.4050
1976-01-01,122.7678
1976-02-01,129.1542
1976-03-01,126.2110
1976-04-01,127.4183
1976-05-01,122.7004
1976-06-01,121.6317
1976-07-01,123.3385
1976-08-01,125.2434
1976-09-01,123.2337
1976-10-01,117.8925
1976-11-01,121.5873
1976-12-01,119.2806
1977-01-01,102.4818
1977-02-01,122.8676
1977-03-01,132.6469
1977-04-01,137.0206
1977-05-01,137.0454
1977-06-01,135.5277
1977-07-01,133.6904
1977-08-01,131.3597
1977-09-01,131.1765
1977-10-01,133.4463
1977-11-01,133.3813
1977-12-01,133.7015
1978-01-01,111.1797
1978-02-01,113.5655
1978-03-01,130.3321
1978-04-01,143.6195
1978-05-01,148.0241
1978-06-01,150.5666
1978-07-01,146.8777
1978-08-01,147.0666
1978-09-01,145.0394
1978-10-01,148.1745
1978-11-01,145.9966
1978-12-01,150.0013
1979-01-01,117.4829
1979-02-01,115.5056
1979-03-01,132.6597
1979-04-01,138.6612
1979-05-01,146.0380
1979-06-01,149.0643
1979-07-01,149.0318
1979-08-01,149.5875
1979-09-01,148.4321
1979-10-01,149.7762
1979-11-01,149.3083
1979-12-01,153.0025
1980-01-01,148.5806
1980-02-01,141.2667
1980-03-01,124.9647
1980-04-01,125.8220
1980-05-01,125.1997
1980-06-01,127.0375
1980-07-01,126.4753
1980-08-01,126.0255
1980-09-01,128.1768
1980-10-01,129.4225
1980-11-01,129.0724
1980-12-01,131.6815
1981-01-01,131.4070
1981-02-01,128.6865
1981-03-01,129.0174
1981-04-01,127.7100
1981-05-01,117.3435
1981-06-01,110.2623
1981-07-01,111.1296
1981-08-01,109.5401
1981-09-01,109.5468
1981-10-01,105.6536
1981-11-01,109.9071
1981-12-01,107.4392
1982-01-01,98.9983
1982-02-01,104.9950
1982-03-01,106.0501
1982-04-01,104.8097
1982-05-01,106.4066
1982-06-01,106.5084
1982-07-01,106.4522
1982-08-01,107.0390
1982-09-01,107.6165
1982-10-01,107.0926
1982-11-01,101.9642
1982-12-01,103.3926
1983-01-01,115.1940
1983-02-01,107.3324
1983-03-01,102.2309
1983-04-01,99.9670
1983-05-01,103.8319
1983-06-01,108.8115
1983-07-01,110.2334
1983-08-01,110.3795
1983-09-01,110.6598
1983-10-01,112.4595
1983-11-01,111.6177
1983-12-01,100.3424
1984-01-01,110.7588
1984-02-01,129.5779
1984-03-01,117.4323
1984-04-01,117.0651
1984-05-01,118.2298
1984-06-01,118.7860
1984-07-01,118.1956
1984-08-01,119.6708
1984-09-01,117.4731
1984-10-01,115.3739
1984-11-01,119.7981
1984-12-01,116.8521
1985-01-01,114.7566
1985-02-01,115.0716
1985-03-01,120.7494
1985-04-01,123.6139
1985-05-01,123.1909
1985-06-01,119.7912
1985-07-01,119.2734
1985-08-01,118.3062
1985-09-01,118.3828
1985-10-01,115.7712
1985-11-01,107.9096
1985-12-01,108.7337
1986-01-01,132.5082
1986-02-01,121.4311
1986-03-01,118.7004
1986-04-01,117.0836
1986-05-01,113.8863
1986-06-01,113.5464
1986-07-01,114.0971
1986-08-01,115.9292
1986-09-01,115.5629
1986-10-01,117.5430
1986-11-01,115.1142
1986-12-01,118.8185
1987-01-01,123.7373
1987-02-01,123.1670
1987-03-01,122.5706
1987-04-01,123.5345
1987-05-01,123.8454
1987-06-01,123.3012
1987-07-01,127.3025
1987-08-01,122.6327
1987-09-01,125.4097
1987-10-01,127.4145
1987-11-01,127.2895
1987-12-01,124.5768
1988-01-01,111.7494
1988-02-01,119.6235
1988-03-01,124.8638
1988-04-01,123.2387
1988-05-01,125.8846
1988-06-01,126.7927
1988-07-01,120.8889
1988-08-01,119.9230
1988-09-01,121.2472
1988-10-01,120.9774
1988-11-01,121.3659
1988-12-01,127.0205
1989-01-01,132.6783
1989-02-01,114.8575
1989-03-01,115.9009
1989-04-01,119.4545
1989-05-01,118.1679
1989-06-01,117.4880
1989-07-01,117.9720
1989-08-01,123.8397
1989-09-01,120.7576
1989-10-01,124.1226
1989-11-01,125.5190
1989-12-01,114.9318
1990-01-01,138.1363
1990-02-01,134.7538
1990-03-01,132.5115
1990-04-01,127.1853
1990-05-01,123.8842
1990-06-01,123.1067
1990-07-01,122.3559
1990-08-01,119.6385
1990-09-01,118.6876
1990-10-01,113.6963
1990-11-01,116.5566
1990-12-01,108.5216
1991-01-01,101.5934
1991-02-01,108.6813
1991-03-01,105.2613
1991-04-01,104.1760
1991-05-01,104.1175
1991-06-01,105.9744
1991-07-01,107.9880
1991-08-01,107.1435
1991-09-01,108.3246
1991-10-01,108.7024
1991-11-01,103.8766
1991-12-01,108.3124
1992-01-01,111.4657
1992-02-01,110.4390
1992-03-01,110.4380
1992-04-01,113.3044
1992-05-01,113.5843
1992-06-01,112.7370
1992-07-01,112.1383
1992-08-01,111.8263
1992-09-01,112.6484
1992-10-01,114.3146
1992-11-01,104.5420
1992-12-01,104.9759
1993-01-01,104.6167
1993-02-01,104.4493
1993-03-01,102.9615
1993-04-01,104.3104
1993-05-01,107.9121
1993-06-01,108.1358
1993-07-01,109.5383
1993-08-01,110.2556
1993-09-01,109.1210
1993-10-01,109.8777
1993-11-01,112.0146
1993-12-01,112.6733
1994-01-01,106.0954
1994-02-01,105.0822
1994-03-01,116.9048
1994-04-01,116.9560
1994-05-01,119.7682
1994-06-01,118.8258
1994-07-01,117.5506
1994-08-01,119.2109
1994-09-01,121.4776
1994-10-01,118.9145
1994-11-01,123.8681
1994-12-01,128.9246
1995-01-01,126.5968
1995-02-01,124.8849
1995-03-01,127.4955
1995-04-01,122.7703
1995-05-01,119.6881
1995-06-01,124.2416
1995-07-01,124.9272
1995-08-01,125.6340
1995-09-01,126.1997
1995-10-01,128.0076
1995-11-01,127.8461
1995-12-01,126.2146
1996-01-01,123.7242
1996-02-01,124.1369
1996-03-01,123.1088
1996-04-01,130.1377
1996-05-01,130.1725
1996-06-01,129.1709
1996-07-01,128.2446
1996-08-01,130.1944
1996-09-01,126.8553
1996-10-01,128.8160
1996-11-01,126.1401
1996-12-01,124.1316
1997-01-01,125.2006
1997-02-01,132.4098
1997-03-01,137.0678
1997-04-01,136.4713
1997-05-01,134.0933
1997-06-01,135.5394
1997-07-01,138.2605
1997-08-01,138.4137
1997-09-01,143.5012
1997-10-01,143.0334
1997-11-01,140.3559
1997-12-01,140.8010
1998-01-01,143.4028
1998-02-01,139.0929
1998-03-01,137.3363
1998-04-01,138.0548
1998-05-01,139.0633
1998-06-01,138.7419
1998-07-01,141.7337
1998-08-01,139.1771
1998-09-01,141.3677
1998-10-01,138.9738
1998-11-01,143.2280
1998-12-01,149.9100
1999-01-01,143.0987
1999-02-01,146.9786
1999-03-01,140.1138
1999-04-01,135.8202
1999-05-01,133.8325
1999-06-01,133.9478
1999-07-01,131.7943
1999-08-01,133.2683
1999-09-01,131.4058
1999-10-01,136.7582
1999-11-01,148.7383
1999-12-01,148.3553
2000-01-01,144.6130
2000-02-01,143.9732
2000-03-01,151.6946
2000-04-01,142.1024
2000-05-01,143.7562
2000-06-01,140.9900
2000-07-01,140.5400
2000-08-01,144.0000
2000-09-01,142.1897
2000-10-01,143.4779
2000-11-01,137.4387
2000-12-01,130.5541
2001-01-01,139.6751
2001-02-01,143.9848
2001-03-01,147.6021
2001-04-01,152.7133
2001-05-01,149.6911
2001-06-01,147.0751
2001-07-01,147.7865
2001-08-01,145.3626
2001-09-01,143.2876
2001-10-01,146.5655
2001-11-01,151.3362
2001-12-01,149.4688
2002-01-01,154.1368
2002-02-01,153.3106
2002-03-01,144.7966
2002-04-01,142.7707
2002-05-01,141.9094
2002-06-01,144.8674
2002-07-01,143.1601
2002-08-01,142.5233
2002-09-01,144.0017
2002-10-01,140.5239
2002-11-01,141.7779
2002-12-01,136.1994
2003-01-01,145.7576
2003-02-01,130.6707
2003-03-01,139.9231
2003-04-01,143.4302
2003-05-01,143.7160
2003-06-01,146.5043
2003-07-01,151.8030
2003-08-01,152.4980
2003-09-01,154.9852
2003-10-01,162.1132
2003-11-01,156.7902
2003-12-01,160.2710
2004-01-01,152.7907
2004-02-01,149.9506
2004-03-01,169.2419
2004-04-01,170.9120
2004-05-01,166.8739
2004-06-01,161.1205
2004-07-01,165.4313
2004-08-01,165.3898
2004-09-01,164.6773
2004-10-01,159.7799
2004-11-01,155.9717
2004-12-01,165.2899
2005-01-01,162.3370
2005-02-01,166.6182
2005-03-01,164.5840
2005-04-01,160.4395
2005-05-01,164.6264
2005-06-01,164.5805
2005-07-01,157.5149
2005-08-01,158.9917
